,Região Administrativa,CÓDIGO,ESTABELECIMENTO,ENDEREÇO,Nº,BAIRRO,CEP,FONE,lat,long
39,OESTE,24077291,CMEI PROFA MARIA ILKA SOARES DA SILVA,AVENIDA SOLANGE NUNES DO NASCIMENTO,297,NOVA DESCOBERTA,59075260,32329444.0,-5.8264324,-35.2021468
40,OESTE,24077526,CMEI PROFA MARIA ITACIRA BENTO,RUA ABREULANDIA,238,CIDADE NOVA,59072500,32329451.0,-5.8321133,-35.2404044
41,OESTE,24074209,CMEI PROFA MARIA SÁLETE ALVES BILA,RUA DA LAGOA SECA,SN,PLANALTO,59073090,32324760.0,-5.8488238,-35.2553043
42,OESTE,24075701,CMEI PROFA MARILANDA BEZERRA DE PAIVA,AV SOLANGE NUNES DO NASCIMENTO,316,GUARAPES,59074750,32324769.0,-5.8417677,-35.2752302
43,OESTE,24080055,CMEI PROFA MARISE PAIVA,AV LIMA E SILVA,259,CIDADE NOVA,59072500,32324779.0,-5.8335423,-35.2417533
44,OESTE,24077755,CMEI PROFA RAQUEL MARIA FILGUEIRA,DANTAS BARRETO,1002,N. SRA DE NAZARÉ,59062300,32329442.0,-5.8164406,-35.233342
45,OESTE,24077780,CMEI SÁTURNINA ALVES DE LUCENA,,625,CIDADE NOVA,59072590,32329445.0,-5.836794299999999,-35.2434017
46,NORTE,24085324,CMEI BELCHIOR JORGE DE SÁ,SÃO FRANCISCO,,N. SRA DA APRESENTAÇÃO,59114155,88172810.0,-5.754368899999999,-35.2719658
47,NORTE,24077801,CMEI DR VULPIANO CAVALCANTI DE ARAÚJO,RUA SEBASTIÃO GONCALVES,77,IGAPÓ,59106080,32329473.0,-5.7672495,-35.2719057
48,NORTE,24077771,CMEI EVANGELINA ELITA DE SOUSA,RUA DAS CRENDICES,1001,LAGOA AZUL,59135070,32329461.0,-5.7352416,-35.2569373
49,NORTE,24086037,CMEI MAILDE FERREIRA PINTO GALVÃO,JOENVILLE,58,POTENGI,59110270,,-5.7556838,-35.2517102
50,NORTE,24077909,CMEI MARIA LUCILA ALVES DE CARVALHO,AV. MOEMA TINOCO DA CUNHA LIMA,4021,LAGOA AZUL,59136245,32329465.0,-5.7190235,-35.2480229
51,NORTE,24255203,CMEI PADRE SABINO GENTILLE,RUA DA GAROUPA,365,PAJUCARA,59132310,32328199.0,-5.793051000000001,-35.199267
52,NORTE,24077704,CMEI PAULINA ENGRACIA MARIZ DE FARIA,RUA LAURENTINO,142,POTENGI,59110300,32329467.0,-5.755038,-35.262506
53,NORTE,24077640,CMEI PROF ANTÔNIO GURGEL DE MELO,PRACA ARARUANA,30,POTENGI,59120450,32329472.0,-5.740717999999999,-35.2556675
54,NORTE,24092002,CMEI PROF JOSÉ CARLOS BEZERRA DE JESUS FILHO,RUA ALVORADA,957,IGAPÓ,59104210,32327758.0,-5.770766800000001,-35.2634518
55,NORTE,24077518,CMEI PROF LUIZ GONZAGA DINIZ FILHO,RUA RIO BELO,51,REDINHA,59122505,32328193.0,-5.753723900000001,-35.2283751
56,NORTE,24077895,CMEI PROFA ELIZABETE TEOTÔNIO DA FONSECA MELO,RUA PRACA JARDIM DAS FLORES,20,REDINHA,59122290,32329477.0,-5.748187499999999,-35.2243565
57,NORTE,24123200,CMEI PROFA FRANCISCA CÉLIA MARTINS DE SOUZA,RUA MARIA DO CARMO DE SOUZA,134,"N. SRA DA 
APRESENTAÇÃO",59115595,32328239.0,-5.7543658,-35.2804961
58,NORTE,24077542,CMEI PROFA MARIA ABIGAIL BARROS DE AZEVEDO,RUA DOS REPENTISTAS,3037,LAGOA AZUL,59138470,32329471.0,-5.7324151,-35.2604545
59,NORTE,24077763,CMEI PROFA MARIA CLEONICE ALVES PONTES,AV MARANGUAPE,660,POTENGI,59112000,32329474.0,-5.7592099,-35.2585189
60,NORTE,24077062,CMEI PROFA MARIA DA PIEDADE DE MELO E SILVA,RUA BARIRI,164,LAGOA AZUL,59135620,32329460.0,-5.727706299999999,-35.2523269
61,NORTE,24081906,CMEI PROFA MARIA DAS GRAÇAS MOTA,SÁLVADOR,79,IGAPÓ,59104070,,-5.7746416,-35.2539391
62,NORTE,24122211,CMEI PROFA Mª DE FÁTIMA MEDEIROS DE ARAÚJO,RUA DO FANDANGO,SN,LAGOA AZUL,59139090,32324384.0,-5.730358799999999,-35.2626225
63,NORTE,24077550,CMEI PROFA MARIA NAZARÉ DA COSTA GALVAO,SÃO LUIZ,120,IGAPÓ,59104020,32329464.0,-5.7764665,-35.2505398
64,NORTE,24077917,CMEI PROFA MARLUCE CARLOS DE MELO,RUA VOLTA REDONDA,2320,POTENGI,59110470,32329466.0,-5.7517138,-35.2572533
65,NORTE,24077399,CMEI PROFA ROSÁLBA DIAS DE BARROS,RUA CARAMBEI,95,POTENGI,59124150,32329462.0,-5.748348,-35.2466782
66,NORTE,24077275,CMEI PROFA SELVA CAPISTRANO LOPES DA SILVA,PORTO DE ILHÉUS,1249,POTENGI,59127290,88018725.0,-5.7485974,-35.2529501
67,NORTE,24056839,CMEI PROFA STELLA LOPES,RUA DOS MORORÓS,SN,LAGOA AZUL,59138010,32324822.0,-5.7371766,-35.2688904
